seed,episode,total_steps,ret,length,terminal_cause,n_awake,n_nrem,n_rem,mean_overload,mean_recall
1,323,6057,-95.125,23,energy,18,1,4,0.5489130434782609,1.0
1,324,6067,-97.46875,10,overload,10,0,0,0.746875,0.9875
1,325,6085,-94.98125,18,energy,16,0,2,0.5989583333333334,0.9791666666666666
1,326,6116,-97.81875,31,energy,20,4,7,0.5393145161290323,0.9959677419354839
1,327,6135,-95.2375,19,energy,16,0,3,0.5756578947368421,0.9868421052631579
1,328,6144,-98.015625,9,overload,9,0,0,0.7795138888888888,0.9722222222222222
1,329,6154,-97.88125,10,overload,9,0,1,0.678125,1.0
1,330,6163,-97.453125,9,overload,9,0,0,0.7170138888888888,0.9861111111111112
1,331,6183,-97.953125,20,energy,15,0,5,0.62265625,1.0
1,332,6201,-96.121875,18,energy,16,0,2,0.6623263888888888,0.9236111111111112
1,333,6219,-95.91875,18,energy,16,0,2,0.6510416666666666,0.9930555555555556
1,334,6245,-96.98125,26,energy,19,2,5,0.5877403846153846,0.9903846153846154
1,335,6258,-99.940625,13,overload,10,2,1,0.7415865384615384,0.9615384615384616
1,336,6280,-95.978125,22,energy,18,1,3,0.6171875,1.0
1,337,6304,-95.7,24,energy,17,1,6,0.5,1.0
1,338,6325,-94.409375,21,energy,18,1,2,0.5766369047619048,1.0
1,339,6341,-97.66875,16,overload,14,1,1,0.716796875,0.953125
1,340,6366,-97.296875,25,energy,20,2,3,0.671875,0.98
1,341,6376,-98.0375,10,overload,9,1,0,0.69375,0.95
1,342,6386,-98.31875,10,overload,9,0,1,0.721875,0.975
1,343,6405,-95.675,19,energy,16,0,3,0.5986842105263158,0.9802631578947368
1,344,6418,-97.015625,13,overload,13,0,0,0.7704326923076923,0.9519230769230769
1,345,6429,-98.553125,11,overload,10,1,0,0.7684659090909091,0.9204545454545454
1,346,6447,-96.184375,18,energy,16,0,2,0.6657986111111112,0.9722222222222222
1,347,6461,-97.753125,14,overload,11,0,3,0.6037946428571429,0.9642857142857143
1,348,6481,-96.8375,20,energy,16,0,4,0.621875,1.0
1,349,6499,-96.0375,18,energy,17,0,1,0.71875,0.9930555555555556
1,350,6512,-97.475,13,overload,12,1,0,0.7211538461538461,0.9807692307692307
1,351,6538,-97.715625,26,energy,19,2,5,0.6159855769230769,0.9855769230769231
1,352,6547,-97.65625,9,overload,9,0,0,0.7395833333333334,0.9583333333333334
1,353,6564,-96.871875,17,overload,15,0,2,0.6865808823529411,0.9705882352941176
